Symbol,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
NYMTN,null,null,null,null,null,null,null,null,null
NYMTO,null,null,null,null,null,null,null,null,null
NYMTP,null,null,null,null,null,null,null,null,null
NEWA,null,null,null,33.5357,0.342,null,null,18.22,null
NLNK,7.2038,-51.2065,1.9858,null,11.438,0.1788,-2.3,5.1,7.4
NMRK,null,22.8757,7.8465,18.0161,0.694,648.0139,1.08,15.12,null
NWS,null,null,0.8954,1162.465,4.59,null,null,16.05,13.95
NWSA,null,null,0.8743,1135.1541,2.641,null,null,15.82,13.45
NEWT,0.0102,15.9927,1.2261,38.7914,3.806,60.7921,2.25,19.15,16.67
NEWTI,null,null,null,null,null,null,null,null,null
NEWTZ,null,null,null,null,null,null,null,null,null
NXEO,0.1058,1.8917,1.0456,21.0472,2.774,108.6806,0.19,9.21,8.26
NXEOU,0.1058,1.8917,1.1053,22.2499,0.368,108.6806,0.19,9.9,null
NXEOW,null,null,null,null,0.086,null,null,0.6,0.55
NXST,0.1724,54.605,2.2886,24.151,6.429,278.8869,10.38,75.7,57.55
NEXT,4.8548,-65.3628,8.5789,null,7.215,0,-0.35,6.03,10.2752
NFEC,0.02,-5.819,0.2518,null,0.38,28.3716,-0.22,2.61,0.91
NODK,null,7.95,1.5028,27.2331,28.452,0,0.71,16.82,17.31
EGOV,1.35,34.1651,6.5103,21.4191,14.551,0,0.77,16.25,19.6
NICE,0.7495,8.7885,null,null,6.178,25.586,null,107.51,78.94
NICK,null,-0.9977,0.6407,13.2574,4.305,154.3956,-0.14,8.69,8.15
NCBS,null,10.3574,1.4758,16.6487,10.005,21.4307,3.51,58.34,52.8
NITE,13.7884,-44.0262,3.0138,null,15.707,0,-1.63,14.88,null
NIHD,0.5876,null,0.2627,null,1.216,null,-3.0002,3.54,0.6844
LASR,1.2697,null,null,null,null,null,0,35,null
NMIH,null,4.4707,2.0209,27.9287,3.268,28.2633,0.37,17.1,10.9
NNBR,2.0701,40.9955,1.5655,460.8834,13.912,166.2377,5.94,20.4,27.45
NDLS,0.0766,-147.3727,6.0209,null,14.73,160.6871,-1.2,12.2,3.9
NDSN,0.1395,29.4756,7.3124,27.2519,4.005,138.2518,5.14,130.49,120.12
